order_id,symbol,time_frame,execute_timeframe,stop_timestamp,bar_number_after_stop,bar_timestamp,open,high,low,close,signalled_stop,signalled_target,target_touched_this_bar
164296,shriram_finance,2,sixty,2026-08-31 09:15:00,9,2026-09-01 11:15:00,1072.1,1072.8,1063.4,1065.6,1073.12,1153.7,False
164296,shriram_finance,2,sixty,2026-08-31 09:15:00,10,2026-09-01 12:15:00,1065.1,1067.9,1062.2,1062.4,1073.12,1153.7,False
164296,shriram_finance,2,sixty,2026-08-31 09:15:00,11,2026-09-01 13:15:00,1062.2,1062.6,1051.5,1053.6,1073.12,1153.7,False
164296,shriram_finance,2,sixty,2026-08-31 09:15:00,12,2026-09-01 14:15:00,1053.5,1057.1,1050.6,1053.9,1073.12,1153.7,False
164296,shriram_finance,2,sixty,2026-08-31 09:15:00,13,2026-09-01 15:15:00,1059.1,1059.1,1059.1,1059.1,1073.12,1153.7,False
164300,britannia_industries,5,one_twenty_five,2026-08-21 13:55:00,1,2026-08-24 09:45:00,5341.0,5350.0,5294.0,5295.0,5326.49,5640.5,False
164300,britannia_industries,5,one_twenty_five,2026-08-21 13:55:00,2,2026-08-24 11:50:00,5295.5,5320.0,5285.0,5295.0,5326.49,5640.5,False
164300,britannia_industries,5,one_twenty_five,2026-08-21 13:55:00,3,2026-08-24 13:55:00,5298.0,5319.5,5286.0,5299.5,5326.49,5640.5,False
164300,britannia_industries,5,one_twenty_five,2026-08-21 13:55:00,4,2026-08-25 09:45:00,5297.5,5336.5,5294.0,5332.0,5326.49,5640.5,False
164300,britannia_industries,5,one_twenty_five,2026-08-21 13:55:00,5,2026-08-25 11:50:00,5330.5,5354.0,5323.0,5328.0,5326.49,5640.5,False
164300,britannia_industries,5,one_twenty_five,2026-08-21 13:55:00,6,2026-08-25 13:55:00,5327.5,5382.5,5324.0,5366.5,5326.49,5640.5,False
164300,britannia_industries,5,one_twenty_five,2026-08-21 13:55:00,7,2026-08-26 09:45:00,5367.0,5388.5,5343.0,5351.0,5326.49,5640.5,False
164300,britannia_industries,5,one_twenty_five,2026-08-21 13:55:00,8,2026-08-26 11:50:00,5353.0,5353.0,5329.5,5335.5,5326.49,5640.5,False
164300,britannia_industries,5,one_twenty_five,2026-08-21 13:55:00,9,2026-08-26 13:55:00,5334.5,5360.5,5310.0,5337.5,5326.49,5640.5,False
164300,britannia_industries,5,one_twenty_five,2026-08-21 13:55:00,10,2026-08-27 09:45:00,5338.0,5339.5,5311.0,5323.0,5326.49,5640.5,False
164300,britannia_industries,5,one_twenty_five,2026-08-21 13:55:00,11,2026-08-27 11:50:00,5324.0,5324.0,5283.5,5292.5,5326.49,5640.5,False
164300,britannia_industries,5,one_twenty_five,2026-08-21 13:55:00,12,2026-08-27 13:55:00,5292.0,5341.0,5277.5,5321.5,5326.49,5640.5,False
164300,britannia_industries,5,one_twenty_five,2026-08-21 13:55:00,13,2026-08-28 09:45:00,5320.0,5355.0,5289.0,5293.5,5326.49,5640.5,False
164300,britannia_industries,5,one_twenty_five,2026-08-21 13:55:00,14,2026-08-28 11:50:00,5295.5,5308.5,5276.5,5308.5,5326.49,5640.5,False
164300,britannia_industries,5,one_twenty_five,2026-08-21 13:55:00,15,2026-08-28 13:55:00,5305.5,5317.5,5249.0,5249.0,5326.49,5640.5,False
164300,britannia_industries,5,one_twenty_five,2026-08-21 13:55:00,16,2026-08-31 09:45:00,5250.0,5272.0,5245.0,5267.5,5326.49,5640.5,False
164300,britannia_industries,5,one_twenty_five,2026-08-21 13:55:00,17,2026-08-31 11:50:00,5269.0,5283.5,5257.0,5259.5,5326.49,5640.5,False
164300,britannia_industries,5,one_twenty_five,2026-08-21 13:55:00,18,2026-08-31 13:55:00,5259.5,5264.5,5215.0,5216.0,5326.49,5640.5,False
164300,britannia_industries,5,one_twenty_five,2026-08-21 13:55:00,19,2026-09-01 09:45:00,5215.0,5225.5,5185.0,5191.5,5326.49,5640.5,False
164300,britannia_industries,5,one_twenty_five,2026-08-21 13:55:00,20,2026-09-01 11:50:00,5194.0,5194.0,5153.0,5154.0,5326.49,5640.5,False
164305,shriram_finance,6,twenty_five,2026-08-18 10:30:00,1,2026-08-18 10:55:00,1099.9,1106.0,1099.3,1104.0,1104.75,1148.37,False
164305,shriram_finance,6,twenty_five,2026-08-18 10:30:00,2,2026-08-18 11:20:00,1104.0,1106.1,1101.7,1105.5,1104.75,1148.37,False
164305,shriram_finance,6,twenty_five,2026-08-18 10:30:00,3,2026-08-18 11:45:00,1105.3,1112.5,1104.3,1110.9,1104.75,1148.37,False
164305,shriram_finance,6,twenty_five,2026-08-18 10:30:00,4,2026-08-18 12:10:00,1111.5,1115.8,1109.9,1114.0,1104.75,1148.37,False
164305,shriram_finance,6,twenty_five,2026-08-18 10:30:00,5,2026-08-18 12:35:00,1114.6,1115.0,1112.2,1113.5,1104.75,1148.37,False
164305,shriram_finance,6,twenty_five,2026-08-18 10:30:00,6,2026-08-18 13:00:00,1113.6,1116.9,1112.5,1113.5,1104.75,1148.37,False
164305,shriram_finance,6,twenty_five,2026-08-18 10:30:00,7,2026-08-18 13:25:00,1113.6,1114.1,1110.9,1113.6,1104.75,1148.37,False
164305,shriram_finance,6,twenty_five,2026-08-18 10:30:00,8,2026-08-18 13:50:00,1113.7,1114.5,1111.9,1112.0,1104.75,1148.37,False
164305,shriram_finance,6,twenty_five,2026-08-18 10:30:00,9,2026-08-18 14:15:00,1112.0,1112.1,1108.9,1110.0,1104.75,1148.37,False
164305,shriram_finance,6,twenty_five,2026-08-18 10:30:00,10,2026-08-18 14:40:00,1109.9,1112.9,1109.5,1111.7,1104.75,1148.37,False
164305,shriram_finance,6,twenty_five,2026-08-18 10:30:00,11,2026-08-18 15:05:00,1111.4,1112.0,1106.0,1108.4,1104.75,1148.37,False
164305,shriram_finance,6,twenty_five,2026-08-18 10:30:00,12,2026-08-19 09:15:00,1108.4,1109.9,1098.2,1099.7,1104.75,1148.37,False
164305,shriram_finance,6,twenty_five,2026-08-18 10:30:00,13,2026-08-19 09:40:00,1100.0,1106.3,1099.7,1104.0,1104.75,1148.37,False
164305,shriram_finance,6,twenty_five,2026-08-18 10:30:00,14,2026-08-19 10:05:00,1104.2,1111.0,1103.7,1108.9,1104.75,1148.37,False
164305,shriram_finance,6,twenty_five,2026-08-18 10:30:00,15,2026-08-19 10:30:00,1108.8,1109.0,1105.4,1108.4,1104.75,1148.37,False
164305,shriram_finance,6,twenty_five,2026-08-18 10:30:00,16,2026-08-19 10:55:00,1108.5,1109.0,1105.2,1106.0,1104.75,1148.37,False
164305,shriram_finance,6,twenty_five,2026-08-18 10:30:00,17,2026-08-19 11:20:00,1105.9,1106.7,1103.6,1105.0,1104.75,1148.37,False
164305,shriram_finance,6,twenty_five,2026-08-18 10:30:00,18,2026-08-19 11:45:00,1105.2,1109.9,1103.7,1107.5,1104.75,1148.37,False
164305,shriram_finance,6,twenty_five,2026-08-18 10:30:00,19,2026-08-19 12:10:00,1107.8,1113.0,1105.2,1109.7,1104.75,1148.37,False
164305,shriram_finance,6,twenty_five,2026-08-18 10:30:00,20,2026-08-19 12:35:00,1109.7,1112.0,1108.4,1108.9,1104.75,1148.37,False
164308,hindalco_industries,5,one_twenty_five,2026-08-19 14:15:00,1,2026-08-20 10:05:00,1018.0,1033.5,1017.95,1029.85,1025.0,1087.95,False
164308,hindalco_industries,5,one_twenty_five,2026-08-19 14:15:00,2,2026-08-20 12:10:00,1030.1,1032.9,1026.45,1026.6,1025.0,1087.95,False
164308,hindalco_industries,5,one_twenty_five,2026-08-19 14:15:00,3,2026-08-20 14:15:00,1026.6,1040.45,1021.0,1036.1,1025.0,1087.95,False
164308,hindalco_industries,5,one_twenty_five,2026-08-19 14:15:00,4,2026-08-21 10:05:00,1036.0,1036.5,1029.45,1031.4,1025.0,1087.95,False
164308,hindalco_industries,5,one_twenty_five,2026-08-19 14:15:00,5,2026-08-21 12:10:00,1031.4,1039.9,1030.3,1038.5,1025.0,1087.95,False
164308,hindalco_industries,5,one_twenty_five,2026-08-19 14:15:00,6,2026-08-21 14:15:00,1039.0,1057.6,1033.65,1050.5,1025.0,1087.95,False
164308,hindalco_industries,5,one_twenty_five,2026-08-19 14:15:00,7,2026-08-24 10:05:00,1050.45,1058.5,1049.55,1054.15,1025.0,1087.95,False
164308,hindalco_industries,5,one_twenty_five,2026-08-19 14:15:00,8,2026-08-24 12:10:00,1054.35,1055.35,1048.8,1050.85,1025.0,1087.95,False
164308,hindalco_industries,5,one_twenty_five,2026-08-19 14:15:00,9,2026-08-24 14:15:00,1050.8,1058.5,1040.45,1046.95,1025.0,1087.95,False
164308,hindalco_industries,5,one_twenty_five,2026-08-19 14:15:00,10,2026-08-25 10:05:00,1046.95,1050.05,1044.05,1049.85,1025.0,1087.95,False
164308,hindalco_industries,5,one_twenty_five,2026-08-19 14:15:00,11,2026-08-25 12:10:00,1049.8,1051.6,1045.05,1045.5,1025.0,1087.95,False
164308,hindalco_industries,5,one_twenty_five,2026-08-19 14:15:00,12,2026-08-25 14:15:00,1045.85,1053.0,1039.15,1050.4,1025.0,1087.95,False
164308,hindalco_industries,5,one_twenty_five,2026-08-19 14:15:00,13,2026-08-26 10:05:00,1050.45,1051.55,1043.5,1044.5,1025.0,1087.95,False
164308,hindalco_industries,5,one_twenty_five,2026-08-19 14:15:00,14,2026-08-26 12:10:00,1044.5,1051.95,1043.4,1050.7,1025.0,1087.95,False
164308,hindalco_industries,5,one_twenty_five,2026-08-19 14:15:00,15,2026-08-26 14:15:00,1050.7,1061.8,1044.55,1045.85,1025.0,1087.95,False
164308,hindalco_industries,5,one_twenty_five,2026-08-19 14:15:00,16,2026-08-27 10:05:00,1045.8,1046.9,1036.6,1037.55,1025.0,1087.95,False
164308,hindalco_industries,5,one_twenty_five,2026-08-19 14:15:00,17,2026-08-27 12:10:00,1037.6,1038.0,1021.45,1022.8,1025.0,1087.95,False
164308,hindalco_industries,5,one_twenty_five,2026-08-19 14:15:00,18,2026-08-27 14:15:00,1022.8,1032.8,1020.05,1030.5,1025.0,1087.95,False
164308,hindalco_industries,5,one_twenty_five,2026-08-19 14:15:00,19,2026-08-28 10:05:00,1030.5,1034.6,1025.95,1027.9,1025.0,1087.95,False
164308,hindalco_industries,5,one_twenty_five,2026-08-19 14:15:00,20,2026-08-28 12:10:00,1027.9,1034.4,1026.7,1032.15,1025.0,1087.95,False
164310,shriram_finance,5,one_twenty_five,2026-08-26 14:15:00,1,2026-08-27 10:05:00,1097.5,1103.9,1091.5,1099.2,1094.94,1147.27,False
164310,shriram_finance,5,one_twenty_five,2026-08-26 14:15:00,2,2026-08-27 12:10:00,1099.2,1104.7,1098.7,1101.0,1094.94,1147.27,False
164310,shriram_finance,5,one_twenty_five,2026-08-26 14:15:00,3,2026-08-27 14:15:00,1101.0,1106.7,1091.0,1093.8,1094.94,1147.27,False
164310,shriram_finance,5,one_twenty_five,2026-08-26 14:15:00,4,2026-08-28 10:05:00,1093.9,1097.6,1086.5,1087.8,1094.94,1147.27,False
164310,shriram_finance,5,one_twenty_five,2026-08-26 14:15:00,5,2026-08-28 12:10:00,1087.5,1088.2,1085.4,1085.9,1094.94,1147.27,False
164310,shriram_finance,5,one_twenty_five,2026-08-26 14:15:00,6,2026-08-28 14:15:00,1085.9,1089.7,1060.1,1062.5,1094.94,1147.27,False
164310,shriram_finance,5,one_twenty_five,2026-08-26 14:15:00,7,2026-08-31 10:05:00,1062.9,1077.7,1061.6,1073.3,1094.94,1147.27,False
164310,shriram_finance,5,one_twenty_five,2026-08-26 14:15:00,8,2026-08-31 12:10:00,1073.9,1080.0,1071.5,1077.1,1094.94,1147.27,False
164310,shriram_finance,5,one_twenty_five,2026-08-26 14:15:00,9,2026-08-31 14:15:00,1077.4,1109.9,1065.4,1068.7,1094.94,1147.27,False
164310,shriram_finance,5,one_twenty_five,2026-08-26 14:15:00,10,2026-09-01 10:05:00,1068.4,1073.2,1063.4,1066.8,1094.94,1147.27,False
164310,shriram_finance,5,one_twenty_five,2026-08-26 14:15:00,11,2026-09-01 12:10:00,1066.6,1067.9,1051.5,1053.6,1094.94,1147.27,False
164311,shriram_finance,6,twenty_five,2026-08-27 09:15:00,1,2026-08-27 09:40:00,1099.5,1102.5,1094.0,1097.7,1103.28,1153.7,False
164311,shriram_finance,6,twenty_five,2026-08-27 09:15:00,2,2026-08-27 10:05:00,1097.5,1103.9,1096.5,1100.0,1103.28,1153.7,False
164311,shriram_finance,6,twenty_five,2026-08-27 09:15:00,3,2026-08-27 10:30:00,1100.3,1100.6,1092.1,1092.9,1103.28,1153.7,False
164311,shriram_finance,6,twenty_five,2026-08-27 09:15:00,4,2026-08-27 10:55:00,1093.0,1098.9,1091.5,1097.3,1103.28,1153.7,False
164311,shriram_finance,6,twenty_five,2026-08-27 09:15:00,5,2026-08-27 11:20:00,1097.3,1097.6,1094.2,1095.8,1103.28,1153.7,False
164311,shriram_finance,6,twenty_five,2026-08-27 09:15:00,6,2026-08-27 11:45:00,1096.3,1101.3,1094.7,1099.2,1103.28,1153.7,False
164311,shriram_finance,6,twenty_five,2026-08-27 09:15:00,7,2026-08-27 12:10:00,1099.2,1102.1,1098.7,1099.8,1103.28,1153.7,False
164311,shriram_finance,6,twenty_five,2026-08-27 09:15:00,8,2026-08-27 12:35:00,1099.6,1103.0,1099.5,1100.6,1103.28,1153.7,False
164311,shriram_finance,6,twenty_five,2026-08-27 09:15:00,9,2026-08-27 13:00:00,1100.5,1104.7,1099.6,1103.2,1103.28,1153.7,False
164311,shriram_finance,6,twenty_five,2026-08-27 09:15:00,10,2026-08-27 13:25:00,1103.2,1103.5,1100.6,1101.4,1103.28,1153.7,False
164311,shriram_finance,6,twenty_five,2026-08-27 09:15:00,11,2026-08-27 13:50:00,1100.9,1101.6,1100.0,1101.0,1103.28,1153.7,False
164311,shriram_finance,6,twenty_five,2026-08-27 09:15:00,12,2026-08-27 14:15:00,1101.0,1105.1,1100.2,1102.7,1103.28,1153.7,False
164311,shriram_finance,6,twenty_five,2026-08-27 09:15:00,13,2026-08-27 14:40:00,1102.5,1104.2,1101.3,1103.6,1103.28,1153.7,False
164311,shriram_finance,6,twenty_five,2026-08-27 09:15:00,14,2026-08-27 15:05:00,1103.6,1104.2,1100.8,1101.0,1103.28,1153.7,False
164311,shriram_finance,6,twenty_five,2026-08-27 09:15:00,15,2026-08-28 09:15:00,1105.0,1106.7,1091.0,1093.4,1103.28,1153.7,False
164311,shriram_finance,6,twenty_five,2026-08-27 09:15:00,16,2026-08-28 09:40:00,1093.5,1098.3,1091.9,1093.8,1103.28,1153.7,False
