order_id,stock_tick,stock_id,country_id,time_frame,order_type,entry_price,stoploss_price,target_price,stock_quantity,purchased_cmp_date,purchased_on,order_status,is_trade_started,is_evaluated,entry_timestamp,completed_on,lstm_rf_model_prediction,lstm_rf_model_prob,arima_ab_model_prediction,arima_ab_model_prob
1621289,cg_power_inds,801,1,5,BUY,904.705,893.597,951.537,100,2026-06-15T15:29,"2026-07-13 16:29:14","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621290,canara_bank,653,1,5,BUY,126.069,124.677,137.4,100,2026-06-15T15:29,"2026-07-13 16:29:15","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621291,coal_india,771,1,5,SELL,461.956,472.164,434.4,100,2026-06-15T15:29,"2026-07-13 16:29:16","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621292,dlf,782,1,5,SELL,621.966,636.613,580,100,2026-06-15T15:29,"2026-07-13 16:29:17","{'status': 'pending', 'reason': 'Still active', 'entry_hit': True, 'current_difference': -538.4, 'current_pct_change': -0.87}",1,0,"2026-06-16 10:00:00",NULL,NULL,NULL,NULL,NULL
1621293,dr_reddys_laboratories,662,1,5,SELL,1302.74,1326.17,1167.5,100,2026-06-15T15:29,"2026-07-13 16:29:17","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621294,godrej_consumer,665,1,5,BUY,1001.7,963.441,1122,100,2026-06-15T15:29,"2026-07-13 16:29:18","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621295,hdfcbank,1,1,5,BUY,743.413,724.15,840.6,100,2026-06-15T15:29,"2026-07-13 16:29:19","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621296,icici_prudential_life,684,1,5,BUY,468.452,460.365,532.765,100,2026-06-15T15:29,"2026-07-13 16:29:21","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621297,icicibank,3,1,5,BUY,1270.7,1253.95,1338.91,100,2026-06-15T15:29,"2026-07-13 16:29:21","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621298,indigo,688,1,5,SELL,4917.01,4983.17,4672.85,100,2026-06-15T15:29,"2026-07-13 16:29:22","{'status': 'pending', 'reason': 'Still active', 'entry_hit': True, 'current_difference': -1499.0, 'current_pct_change': -0.3}",1,0,"2026-06-18 10:10:00",NULL,NULL,NULL,NULL,NULL
1621299,jsw_steel,772,1,5,BUY,1263.89,1248.49,1328,100,2026-06-15T15:29,"2026-07-13 16:29:24","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621300,jsw_energy,807,1,5,SELL,587.168,596.79,559.5,100,2026-06-15T15:29,"2026-07-13 16:29:24","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621301,pnb,795,1,5,SELL,109.106,110.891,102.9,100,2026-06-15T15:29,"2026-07-13 16:29:28","{'status': 'pending', 'reason': 'Still active', 'entry_hit': True, 'current_difference': 6.6, 'current_pct_change': 0.06}",1,0,"2026-06-17 11:30:00",NULL,NULL,NULL,NULL,NULL
