id,stock_tick,y_finance,is_active,index_id,kite_symbol,kite_token,fyers_symbol,is_proc
840,delhivery,DELHIVERY.NS,1,NULL,DELHIVERY,2457345,NSE:DELHIVERY-EQ,0
841,escorts_kubota,ESCORTS.NS,1,NULL,ESCORTS,245249,NSE:ESCORTS-EQ,1
842,exide_industries,EXIDEIND.NS,1,NULL,EXIDEIND,173057,NSE:EXIDEIND-EQ,0
843,glenmark_pharmaceuticals,GLENMARK.NS,1,NULL,GLENMARK,1895937,NSE:GLENMARK-EQ,0
844,gmr_airports,GMRAIRPORT.NS,1,NULL,GMRAIRPORT,3463169,NSE:GMRAIRPORT-EQ,0
845,godrej_properties,GODREJPROP.NS,1,NULL,GODREJPROP,4576001,NSE:GODREJPROP-EQ,0
846,granules_india,GRANULES.NS,1,NULL,GRANULES,3039233,NSE:GRANULES-EQ,0
847,hfcl,HFCL.NS,1,NULL,HFCL,5619457,NSE:HFCL-EQ,0
848,hindustan_copper,HINDCOPPER.NS,1,NULL,HINDCOPPER,4592385,NSE:HINDCOPPER-EQ,0
849,hindustan_zinc,HINDZINC.NS,1,NULL,HINDZINC,364545,NSE:HINDZINC-EQ,0
850,housing_and_urban_development_corp,HUDCO.NS,1,NULL,HUDCO,5331201,NSE:HUDCO-EQ,0
851,vodafone_idea,IDEA.NS,1,NULL,IDEA,3677697,NSE:IDEA-EQ,0
852,indian_energy_exchange,IEX.NS,1,NULL,IEX,56321,NSE:IEX-EQ,1
853,iifl_finance,IIFL.NS,1,NULL,IIFL,3023105,NSE:IIFL-EQ,0
854,indian_bank,INDIANB.NS,1,NULL,INDIANB,3663105,NSE:INDIANB-EQ,0
857,inox_wind,INOXWIND.NS,1,NULL,INOXWIND,2010113,NSE:INOXWIND-EQ,0
858,irb_infrastructure_developers,IRB.NS,1,NULL,IRB,3920129,NSE:IRB-EQ,0
859,irctc,IRCTC.NS,1,NULL,IRCTC,3484417,NSE:IRCTC-EQ,0
860,ireda,IREDA.NS,1,NULL,IREDA,5186817,NSE:IREDA-EQ,0
861,jindal_stainless,JSL.NS,1,NULL,JSL,2876417,NSE:JSL-EQ,0
862,kalyan_jewellers_india,KALYANKJIL.NS,1,NULL,KALYANKJIL,756481,NSE:KALYANKJIL-EQ,0
863,kei_industries,KEI.NS,1,NULL,KEI,3407361,NSE:KEI-EQ,1
864,kpit_technologies,KPITTECH.NS,1,NULL,KPITTECH,2478849,NSE:KPITTECH-EQ,0
865,laurus_labs,LAURUSLABS.NS,1,NULL,LAURUSLABS,4923905,NSE:LAURUSLABS-EQ,0
866,lic_housing_finance,LICHSGFIN.NS,1,NULL,LICHSGFIN,511233,NSE:LICHSGFIN-EQ,0
867,lupin,LUPIN.NS,1,NULL,LUPIN,2672641,NSE:LUPIN-EQ,0
868,mahindra_mahindra_financial,M&MFIN.NS,1,NULL,M&MFIN,3400961,NSE:M&MFIN-EQ,0
869,manappuram_finance,MANAPPURAM.NS,1,NULL,MANAPPURAM,4879617,NSE:MANAPPURAM-EQ,0
870,max_healthcare_institute,MAXHEALTH.NS,1,NULL,MAXHEALTH,5728513,NSE:MAXHEALTH-EQ,0
871,mcx,MCX.NS,1,NULL,MCX,7982337,NSE:MCX-EQ,0
872,max_financial_services,MFSL.NS,1,NULL,MFSL,548353,NSE:MFSL-EQ,0
873,mahanagar_gas,MGL.NS,1,NULL,MGL,4488705,NSE:MGL-EQ,0
874,mrf,MRF.NS,1,NULL,MRF,582913,NSE:MRF-EQ,1
875,muthoot_finance,MUTHOOTFIN.NS,1,NULL,MUTHOOTFIN,6054401,NSE:MUTHOOTFIN-EQ,0
876,national_aluminium_co,NATIONALUM.NS,1,NULL,NATIONALUM,1629185,NSE:NATIONALUM-EQ,0
877,nbcc,NBCC.NS,1,NULL,NBCC,8042241,NSE:NBCC-EQ,0
878,ncc,NCC.NS,1,NULL,NCC,593665,NSE:NCC-EQ,0
879,nhpc,NHPC.NS,1,NULL,NHPC,4454401,NSE:NHPC-EQ,0
880,nykaa,NYKAA.NS,1,NULL,NYKAA,1675521,NSE:NYKAA-EQ,0
881,oberoi_realty,OBEROIRLTY.NS,1,NULL,OBEROIRLTY,5181953,NSE:OBEROIRLTY-EQ,0
